"name","institution"
"Silke Schmidt","Ernst-Moritz-Arndt-University"
"Tine Fuglsang","Justitsministeriets Forskningskontor"
"Róbert Urbán","Eötvös Loránd University (ELTE PPK)"
"Josep Casanovas","Universitat Politècnica de Catalunya, Spain"
"Kevin Mullinix","Department of Political Science, University of Kansas, Lawrence, KS"
"John Dziak","The Pennsylvania State University, University Park"
"Edgar Kiser","University of Washington, USA"
"Graca Carapinheiro","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal"
"Paul Berger","Bentley University Waltham, MA, U.S.A."
"Tomer Einat","Bar-Ilan University"
"Diana García-Beltrán","Facultad de Psicología, Fundación Universitaria Konrad Lorenz, Bogotá, Colombia"
"Renata Bertazzi Levy","School of Medicine—University of Sao Paulo (Faculdade de Medicina—Universidade de São Paulo), Sao Paulo, Brazil"
"Larissa Rabbiosi","Department of Strategy and InnovationCopenhagen Business SchoolFrederiksbergDenmark"
"Masaya Ito","National Center of Neurology and Psychiatry, National Center for Cognitive Behavior Therapy and Research, Tokyo, Japan"
"Daan Liang","Texas Tech University"
"Thomas Dietz","Department of Sociology, Environmental Science and Policy Program, Michigan State University, East Lansing, Michigan, United States of America"
"Peter Taylor","Chang'an University"
"Clifton Carey","University of Colorado"
"Hanna Christiansen","Philipps University of Marburg"
"Ali Kasaeian","University of Tübingen"
"Irene Røen","Innlandet Hospital Trust"
"Kirsten Martin","George Washington University School of Business"
"Crystal Chapman Lambert","University of Alabama"
"Alex M Cressman","Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada"
"Sura Searan","University of Anbar"
"Roger Millsap","Clinical Psychology & Psychotherapy"
"Dylan Mezzio","Xcenda"
"Lianne Kokoska","Harper University Hospital, Detroit Medical Center"
"Jessica Sheringham","Department of Applied Health Research, UCL"
"Anatoliy Gruzd","Ryerson university"
"Davide Massidda","University of Cagliari"
"Sebastian Sattler","Institute for Sociology and Social Psychology"
"Muhammad Kamran","Cryptography and Security"
